lad24cd,la_name,pfa_name,pfa_name_safelives,population_weight,source
E08000031,Wolverhampton,West Midlands,West Midlands,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000032,Bradford,West Yorkshire,West Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000033,Calderdale,West Yorkshire,West Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000034,Kirklees,West Yorkshire,West Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000035,Leeds,West Yorkshire,West Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000036,Wakefield,West Yorkshire,West Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000037,Gateshead,Northumbria,Northumbria,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000001,City of London,City of London,City of London,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000002,Barking & Dagenham,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000003,Barnet,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000004,Bexley,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000005,Brent,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000006,Bromley,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000007,Camden,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000008,Croydon,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000009,Ealing,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000010,Enfield,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000011,Greenwich,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000012,Hackney,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000013,Hammersmith & Fulham,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000014,Haringey,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000015,Harrow,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000016,Havering,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000017,Hillingdon,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000018,Hounslow,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000019,Islington,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000020,Kensington & Chelsea,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000021,Kingston Upon Thames,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000022,Lambeth,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000023,Lewisham,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000024,Merton,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000025,Newham,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000026,Redbridge,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000027,Richmond upon Thames,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000028,Southwark,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000029,Sutton,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000030,Tower Hamlets,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000031,Waltham Forest,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000032,Wandsworth,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E09000033,Westminster,Metropolitan Police,Metropolitan Police,1.0,ONS PFA boundaries 2024 - LAD24CD basis
